"dataset","Patient_ID","Timepoint","cluster","Cell_Type","n_subtypes","original_subtypes"
"NKI","2976","Surgery","C3","T cell CD4+ (aggregated)",7,"T cell CD4+ (non-regulatory) + T cell CD4+ central memory + T cell CD4+ effector memory + T cell CD4+ memory + T cell CD4+ naive + T cell CD4+ Th1 + T cell CD4+ Th2"
"NKI","3001","Biopsy","C1","T cell CD4+ (aggregated)",7,"T cell CD4+ (non-regulatory) + T cell CD4+ central memory + T cell CD4+ effector memory + T cell CD4+ memory + T cell CD4+ naive + T cell CD4+ Th1 + T cell CD4+ Th2"
"NKI","3001","Surgery","C1","T cell CD4+ (aggregated)",7,"T cell CD4+ (non-regulatory) + T cell CD4+ central memory + T cell CD4+ effector memory + T cell CD4+ memory + T cell CD4+ naive + T cell CD4+ Th1 + T cell CD4+ Th2"
"NKI","3036","Biopsy","C3","T cell CD4+ (aggregated)",7,"T cell CD4+ (non-regulatory) + T cell CD4+ central memory + T cell CD4+ effector memory + T cell CD4+ memory + T cell CD4+ naive + T cell CD4+ Th1 + T cell CD4+ Th2"
"NKI","3036","Surgery","C3","T cell CD4+ (aggregated)",7,"T cell CD4+ (non-regulatory) + T cell CD4+ central memory + T cell CD4+ effector memory + T cell CD4+ memory + T cell CD4+ naive + T cell CD4+ Th1 + T cell CD4+ Th2"
"NKI","3065","Biopsy","C1","T cell CD4+ (aggregated)",7,"T cell CD4+ (non-regulatory) + T cell CD4+ central memory + T cell CD4+ effector memory + T cell CD4+ memory + T cell CD4+ naive + T cell CD4+ Th1 + T cell CD4+ Th2"
"NKI","3065","Surgery","C1","T cell CD4+ (aggregated)",7,"T cell CD4+ (non-regulatory) + T cell CD4+ central memory + T cell CD4+ effector memory + T cell CD4+ memory + T cell CD4+ naive + T cell CD4+ Th1 + T cell CD4+ Th2"
"NKI","3067","Biopsy","C1","T cell CD4+ (aggregated)",7,"T cell CD4+ (non-regulatory) + T cell CD4+ central memory + T cell CD4+ effector memory + T cell CD4+ memory + T cell CD4+ naive + T cell CD4+ Th1 + T cell CD4+ Th2"
"NKI","3067","Surgery","C1","T cell CD4+ (aggregated)",7,"T cell CD4+ (non-regulatory) + T cell CD4+ central memory + T cell CD4+ effector memory + T cell CD4+ memory + T cell CD4+ naive + T cell CD4+ Th1 + T cell CD4+ Th2"
"NKI","3130","Biopsy","C1","T cell CD4+ (aggregated)",7,"T cell CD4+ (non-regulatory) + T cell CD4+ central memory + T cell CD4+ effector memory + T cell CD4+ memory + T cell CD4+ naive + T cell CD4+ Th1 + T cell CD4+ Th2"
"NKI","3130","Surgery","C1","T cell CD4+ (aggregated)",7,"T cell CD4+ (non-regulatory) + T cell CD4+ central memory + T cell CD4+ effector memory + T cell CD4+ memory + T cell CD4+ naive + T cell CD4+ Th1 + T cell CD4+ Th2"
"NKI","3161","Biopsy","C1","T cell CD4+ (aggregated)",7,"T cell CD4+ (non-regulatory) + T cell CD4+ central memory + T cell CD4+ effector memory + T cell CD4+ memory + T cell CD4+ naive + T cell CD4+ Th1 + T cell CD4+ Th2"
"NKI","3161","Surgery","C1","T cell CD4+ (aggregated)",7,"T cell CD4+ (non-regulatory) + T cell CD4+ central memory + T cell CD4+ effector memory + T cell CD4+ memory + T cell CD4+ naive + T cell CD4+ Th1 + T cell CD4+ Th2"
"NKI","97","Biopsy","C1","T cell CD4+ (aggregated)",7,"T cell CD4+ (non-regulatory) + T cell CD4+ central memory + T cell CD4+ effector memory + T cell CD4+ memory + T cell CD4+ naive + T cell CD4+ Th1 + T cell CD4+ Th2"
"NKI","97","Surgery","C1","T cell CD4+ (aggregated)",7,"T cell CD4+ (non-regulatory) + T cell CD4+ central memory + T cell CD4+ effector memory + T cell CD4+ memory + T cell CD4+ naive + T cell CD4+ Th1 + T cell CD4+ Th2"
"SMC","OB_0001","Biopsy","C1","T cell CD4+ (aggregated)",7,"T cell CD4+ (non-regulatory) + T cell CD4+ central memory + T cell CD4+ effector memory + T cell CD4+ memory + T cell CD4+ naive + T cell CD4+ Th1 + T cell CD4+ Th2"
"SMC","OB_0001","Surgery","C1","T cell CD4+ (aggregated)",7,"T cell CD4+ (non-regulatory) + T cell CD4+ central memory + T cell CD4+ effector memory + T cell CD4+ memory + T cell CD4+ naive + T cell CD4+ Th1 + T cell CD4+ Th2"
"SMC","OB_0038","Biopsy","C3","T cell CD4+ (aggregated)",7,"T cell CD4+ (non-regulatory) + T cell CD4+ central memory + T cell CD4+ effector memory + T cell CD4+ memory + T cell CD4+ naive + T cell CD4+ Th1 + T cell CD4+ Th2"
"SMC","OB_0038","Surgery","C3","T cell CD4+ (aggregated)",7,"T cell CD4+ (non-regulatory) + T cell CD4+ central memory + T cell CD4+ effector memory + T cell CD4+ memory + T cell CD4+ naive + T cell CD4+ Th1 + T cell CD4+ Th2"
"SMC","OB_0080","Biopsy","C1","T cell CD4+ (aggregated)",7,"T cell CD4+ (non-regulatory) + T cell CD4+ central memory + T cell CD4+ effector memory + T cell CD4+ memory + T cell CD4+ naive + T cell CD4+ Th1 + T cell CD4+ Th2"
"SMC","OB_0080","Surgery","C1","T cell CD4+ (aggregated)",7,"T cell CD4+ (non-regulatory) + T cell CD4+ central memory + T cell CD4+ effector memory + T cell CD4+ memory + T cell CD4+ naive + T cell CD4+ Th1 + T cell CD4+ Th2"
"SMC","OB_0095","Biopsy","C2","T cell CD4+ (aggregated)",7,"T cell CD4+ (non-regulatory) + T cell CD4+ central memory + T cell CD4+ effector memory + T cell CD4+ memory + T cell CD4+ naive + T cell CD4+ Th1 + T cell CD4+ Th2"
"SMC","OB_0095","Surgery","C2","T cell CD4+ (aggregated)",7,"T cell CD4+ (non-regulatory) + T cell CD4+ central memory + T cell CD4+ effector memory + T cell CD4+ memory + T cell CD4+ naive + T cell CD4+ Th1 + T cell CD4+ Th2"
"SMC","OB_0139","Biopsy","C3","T cell CD4+ (aggregated)",7,"T cell CD4+ (non-regulatory) + T cell CD4+ central memory + T cell CD4+ effector memory + T cell CD4+ memory + T cell CD4+ naive + T cell CD4+ Th1 + T cell CD4+ Th2"
"SMC","OB_0139","Surgery","C3","T cell CD4+ (aggregated)",7,"T cell CD4+ (non-regulatory) + T cell CD4+ central memory + T cell CD4+ effector memory + T cell CD4+ memory + T cell CD4+ naive + T cell CD4+ Th1 + T cell CD4+ Th2"
"SMC","OB_0157","Biopsy","C2","T cell CD4+ (aggregated)",7,"T cell CD4+ (non-regulatory) + T cell CD4+ central memory + T cell CD4+ effector memory + T cell CD4+ memory + T cell CD4+ naive + T cell CD4+ Th1 + T cell CD4+ Th2"
"SMC","OB_0157","Surgery","C2","T cell CD4+ (aggregated)",7,"T cell CD4+ (non-regulatory) + T cell CD4+ central memory + T cell CD4+ effector memory + T cell CD4+ memory + T cell CD4+ naive + T cell CD4+ Th1 + T cell CD4+ Th2"
"SMC","OB_0163","Biopsy","C3","T cell CD4+ (aggregated)",7,"T cell CD4+ (non-regulatory) + T cell CD4+ central memory + T cell CD4+ effector memory + T cell CD4+ memory + T cell CD4+ naive + T cell CD4+ Th1 + T cell CD4+ Th2"
